문제 번호,제목,레벨,태그,링크
1000,A+B,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/1000
1001,A-B,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/1001
1003,피보나치 함수,8,dp,https://www.acmicpc.net/problem/1003
1008,A/B,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/1008
1012,유기농 배추,,,https://www.acmicpc.net/problem/1012
1018,체스판 다시 칠하기,7,bruteforcing,https://www.acmicpc.net/problem/1018
1043,거짓말,,,https://www.acmicpc.net/problem/1043
1074,Z,,,https://www.acmicpc.net/problem/1074
1085,직사각형에서 탈출,3,"geometry, math",https://www.acmicpc.net/problem/1085
1149,RGB거리,,,https://www.acmicpc.net/problem/1149
1152,단어의 개수,4,"implementation, string",https://www.acmicpc.net/problem/1152
1157,단어 공부,5,"implementation, string",https://www.acmicpc.net/problem/1157
1181,단어 정렬,6,"sorting, string",https://www.acmicpc.net/problem/1181
1193,분수찾기,6,"implementation, math",https://www.acmicpc.net/problem/1193
1197,최소 스패닝 트리,,,https://www.acmicpc.net/problem/1197
1202,보석 도둑,,,https://www.acmicpc.net/problem/1202
1237,정ㅋ벅ㅋ,,,https://www.acmicpc.net/problem/1237
1253,좋다,,,https://www.acmicpc.net/problem/1253
1259,팰린드롬수,5,"implementation, string",https://www.acmicpc.net/problem/1259
1260,DFS와 BFS,,"graphs, graph_traversal, bfs, dfs",https://www.acmicpc.net/problem/1260
1269,대칭 차집합,7,"data_structures, hash_set, tree_set",https://www.acmicpc.net/problem/1269
1300,K번째 수,,,https://www.acmicpc.net/problem/1300
1316,그룹 단어 체커,6,"implementation, string",https://www.acmicpc.net/problem/1316
1330,두 수 비교하기,1,implementation,https://www.acmicpc.net/problem/1330
1389,케빈 베이컨의 6단계 법칙,,,https://www.acmicpc.net/problem/1389
1427,소트인사이드,6,"sorting, string",https://www.acmicpc.net/problem/1427
1436,영화감독 숌,6,bruteforcing,https://www.acmicpc.net/problem/1436
1463,1로 만들기,8,dp,https://www.acmicpc.net/problem/1463
1504,특정한 최단 경로,,,https://www.acmicpc.net/problem/1504
1541,잃어버린 괄호,,,https://www.acmicpc.net/problem/1541
1546,평균,5,"arithmetic, math",https://www.acmicpc.net/problem/1546
1620,나는야 포켓몬 마스터 이다솜,7,"data_structures, hash_set",https://www.acmicpc.net/problem/1620
1629,곱셈,,,https://www.acmicpc.net/problem/1629
