제출 번호,문제 번호,결과,메모리,시간,제출 시간,태그
93754392,11724,시간 초과,,,16시간 전,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
93754301,11724,시간 초과,,,16시간 전,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
93753951,11724,시간 초과,,,16시간 전,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
93741221,1260,런타임 에러 (TypeError),,,20시간 전,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
93739313,1260,시간 초과,,,21시간 전,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
86441332,6139,틀렸습니다,,,5달 전,"['implementation', 'math', 'simulation']"
86434100,31923,컴파일 에러,,,5달 전,"['bruteforcing', 'math']"
86433719,31923,틀렸습니다,,,5달 전,"['bruteforcing', 'math']"
86433320,31923,틀렸습니다,,,5달 전,"['bruteforcing', 'math']"
86433304,31923,컴파일 에러,,,5달 전,"['bruteforcing', 'math']"
86432562,31923,틀렸습니다,,,5달 전,"['bruteforcing', 'math']"
86431243,31923,런타임 에러 (DivisionByZero),,,5달 전,"['bruteforcing', 'math']"
86426624,2909,틀렸습니다,,,5달 전,"['implementation', 'math']"
86426598,2909,틀렸습니다,,,5달 전,"['implementation', 'math']"
86426164,14924,컴파일 에러,,,5달 전,"['arithmetic', 'math']"
86425778,4107,틀렸습니다,,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86342781,4107,런타임 에러 (AssertionFailed),,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86342719,4107,런타임 에러 (AssertionFailed),,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86342368,4107,런타임 에러 (AssertionFailed),,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86342352,4107,런타임 에러 (AssertionFailed),,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86342339,4107,컴파일 에러,,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86342084,4107,틀렸습니다,,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86342029,4107,런타임 에러 (AssertionFailed),,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86342009,4107,컴파일 에러,,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86341998,4107,컴파일 에러,,,5달 전,"['arithmetic', 'implementation', 'math', 'simulation']"
86338518,10987,런타임 에러 (Segfault),,,5달 전,"['implementation', 'string']"
86337816,30802,컴파일 에러,,,5달 전,"['arithmetic', 'implementation', 'math']"
86337550,30802,틀렸습니다,,,5달 전,"['arithmetic', 'implementation', 'math']"
86337537,30802,컴파일 에러,,,5달 전,"['arithmetic', 'implementation', 'math']"
86337505,30802,컴파일 에러,,,5달 전,"['arithmetic', 'implementation', 'math']"
83846684,2606,런타임 에러 (ArrayIndexOutOfBounds),,,7달 전,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
83846305,2606,런타임 에러 (ArrayIndexOutOfBounds),,,7달 전,"['graphs', 'graph_traversal', 'bfs', 'dfs']"
83804324,2579,시간 초과,,,7달 전,['dp']
83502773,11399,런타임 에러 (ArrayIndexOutOfBounds),,,7달 전,"['greedy', 'sorting']"
83501186,11047,틀렸습니다,,,7달 전,['greedy']
78676055,4948,런타임 에러 (ArrayIndexOutOfBounds),,,11달 전,"['math', 'number_theory', 'primality_test', 'sieve']"
78675280,4948,시간 초과,,,11달 전,"['math', 'number_theory', 'primality_test', 'sieve']"
78674691,1929,런타임 에러 (/ by zero),,,11달 전,"['math', 'number_theory', 'primality_test', 'sieve']"
78674514,4134,틀렸습니다,,,11달 전,"['bruteforcing', 'math', 'number_theory', 'primality_test']"
78674295,4134,틀렸습니다,,,11달 전,"['bruteforcing', 'math', 'number_theory', 'primality_test']"
78674276,4134,틀렸습니다,,,11달 전,"['bruteforcing', 'math', 'number_theory', 'primality_test']"
78673534,4134,시간 초과,,,11달 전,"['bruteforcing', 'math', 'number_theory', 'primality_test']"
78673280,4134,런타임 에러 (NumberFormat),,,11달 전,"['bruteforcing', 'math', 'number_theory', 'primality_test']"
70831500,2485,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70831496,2485,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70831482,2485,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70831477,2485,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70831476,2485,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70831446,2485,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70785114,1735,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70682808,1735,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70682797,1735,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70682781,1735,틀렸습니다,,,1년 전,"['euclidean', 'math', 'number_theory']"
70682748,13241,컴파일 에러,,,1년 전,"['euclidean', 'math', 'number_theory']"
70678211,11478,시간 초과,,,1년 전,"['data_structures', 'hash_set', 'string', 'tree_set', 'set']"
70676928,1764,틀렸습니다,,,1년 전,"['data_structures', 'hash_set', 'sorting', 'string', 'set']"
70676913,1764,틀렸습니다,,,1년 전,"['data_structures', 'hash_set', 'sorting', 'string', 'set']"
70676904,1764,틀렸습니다,,,1년 전,"['data_structures', 'hash_set', 'sorting', 'string', 'set']"
70646967,1620,시간 초과,,,1년 전,"['data_structures', 'hash_set', 'set']"
70646710,1620,시간 초과,,,1년 전,"['data_structures', 'hash_set', 'set']"
70609510,7785,시간 초과,,,1년 전,"['data_structures', 'hash_set', 'set']"
70534230,10815,틀렸습니다,,,1년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
69812327,10869,컴파일 에러,,,1년 전,"['implementation', 'arithmetic', 'math']"
69812314,10869,컴파일 에러,,,1년 전,"['implementation', 'arithmetic', 'math']"
67192685,10815,시간 초과,,,1년 전,"['binary_search', 'data_structures', 'hash_set', 'sorting', 'set']"
67187987,18870,시간 초과,,,1년 전,"['coordinate_compression', 'sorting']"
67145879,19532,틀렸습니다,,,1년 전,"['bruteforcing', 'math']"
67144089,19532,틀렸습니다,,,1년 전,"['bruteforcing', 'math']"
66962745,2839,틀렸습니다,,,1년 전,"['dp', 'greedy', 'math']"
66961611,24313,틀렸습니다,,,1년 전,['math']
66961315,24313,틀렸습니다,,,1년 전,['math']
66960616,24267,틀렸습니다,,,1년 전,"['implementation', 'math', 'simulation']"
66959867,24267,틀렸습니다,,,1년 전,"['implementation', 'math', 'simulation']"
66959030,24267,시간 초과,,,1년 전,"['implementation', 'math', 'simulation']"
66956051,10101,틀렸습니다,,,1년 전,"['geometry', 'implementation']"
66955913,10101,틀렸습니다,,,1년 전,"['geometry', 'implementation']"
66954781,15894,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66954754,15894,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66895265,11653,시간 초과,,,1년 전,"['math', 'number_theory', 'primality_test']"
66895048,11653,런타임 에러 (IndexOutOfBounds),,,1년 전,"['math', 'number_theory', 'primality_test']"
66894988,11653,시간 초과,,,1년 전,"['math', 'number_theory', 'primality_test']"
66894505,2581,틀렸습니다,,,1년 전,"['primality_test', 'number_theory', 'math']"
66892506,5086,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66892369,5086,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66892300,5086,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66800153,2720,컴파일 에러,,,1년 전,"['arithmetic', 'greedy', 'math']"
66798640,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66798331,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66798223,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66798174,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66602824,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
